date;age;sex;vrs_cases
2010-01-18;1;Female;9
2010-01-18;1;Male;14
2010-01-18;2;Female;2
2010-01-18;2;Male;3
2010-01-18;3;Male;1
2010-01-19;0;Female;34
2010-01-19;0;Male;55
2010-01-19;1;Female;2
2010-01-19;1;Male;8
2010-01-19;2;Female;2
2010-01-19;2;Male;4
2010-01-19;4;Male;3
2010-01-20;0;Female;34
2010-01-20;0;Male;44
2010-01-20;1;Female;4
2010-01-20;1;Male;4
2010-01-20;2;Male;1
2010-01-21;0;Female;37
2010-01-21;0;Male;40
2010-01-21;1;Female;8
2010-01-21;1;Male;10
2010-01-21;2;Female;1
2010-01-21;4;Male;1
2010-01-22;0;Female;31
2010-01-22;0;Male;53
2010-01-22;1;Female;6
2010-01-22;1;Male;8
2010-01-22;2;Female;1
2010-01-22;2;Male;1
2010-01-22;3;Female;2
2010-01-22;3;Male;1
2010-01-22;4;Female;1
2010-01-23;0;Female;5
2010-01-23;0;Male;9
2010-01-23;1;Female;1
2010-01-23;2;Female;1
2010-01-23;2;Male;1
2010-01-24;0;Female;3
2010-01-24;0;Male;4
2010-01-25;0;Female;59
2010-01-25;0;Male;65
2010-01-25;1;Female;5
2010-01-25;1;Male;5
2010-01-25;2;Male;2
2010-01-25;3;Male;1
2010-01-25;4;Female;1
2010-01-26;0;Female;37
2010-01-26;0;Male;47
2010-01-26;1;Female;4
2010-01-26;1;Male;12
2010-01-26;2;Female;1
2010-01-26;2;Male;4
2010-01-26;3;Female;1
2010-01-27;0;Female;37
2010-01-27;0;Male;44
2010-01-27;1;Female;6
2010-01-27;1;Male;3
2010-01-27;2;Female;3
2010-01-27;2;Male;3
2010-01-27;4;Male;1
2010-01-28;0;Female;33
2010-01-28;0;Male;37
2010-01-28;1;Female;3
2010-01-28;1;Male;2
2010-01-28;4;Female;2
2010-01-29;0;Female;33
2010-01-29;0;Male;39
2010-01-29;1;Female;4
2010-01-29;1;Male;6
2010-01-29;2;Female;3
2010-01-29;2;Male;1
2010-01-29;3;Female;1
2010-01-29;4;Female;1
2010-01-30;0;Female;6
2010-01-30;0;Male;4
2010-01-31;0;Female;3
2010-01-31;0;Male;2
2010-01-31;2;Female;1
2010-02-01;0;Female;36
2010-02-01;0;Male;67
2010-02-01;1;Female;5
2010-02-01;1;Male;4
2010-02-01;2;Female;4
2010-02-01;2;Male;1
2010-02-01;3;Male;1
2010-02-02;0;Female;25
2010-02-02;0;Male;42
2010-02-02;1;Female;6
2010-02-02;1;Male;7
2010-02-02;3;Male;3
2010-02-02;4;Female;1
2010-02-03;0;Female;29
2010-02-03;0;Male;26
2010-02-03;1;Female;4
2010-02-03;1;Male;7
2010-02-03;2;Female;1
2010-02-03;4;Female;1
2010-02-03;4;Male;1
2010-02-04;0;Female;28
2010-02-04;0;Male;40
2010-02-04;1;Female;6
2010-02-04;1;Male;1
2010-02-04;2;Male;2
2010-02-04;3;Male;1
2010-02-04;4;Male;1
2010-02-05;0;Female;32
2010-02-05;0;Male;33
2010-02-05;1;Female;4
2010-02-05;1;Male;2
2010-02-06;0;Female;1
2010-02-06;0;Male;7
2010-02-06;2;Female;2
2010-02-07;0;Female;3
2010-02-07;0;Male;2
2010-02-07;2;Male;1
2010-02-08;0;Female;34
2010-02-08;0;Male;56
2010-02-08;1;Female;9
2010-02-08;1;Male;4
2010-02-08;2;Female;1
2010-02-08;3;Male;1
2010-02-08;4;Male;1
2010-02-09;0;Female;19
2010-02-09;0;Male;33
2010-02-09;1;Female;5
2010-02-09;1;Male;2
2010-02-09;2;Female;1
2010-02-09;2;Male;2
2010-02-09;3;Female;1
2010-02-10;0;Female;18
2010-02-10;0;Male;31
2010-02-10;1;Female;5
2010-02-10;1;Male;7
2010-02-10;2;Female;1
2010-02-10;2;Male;3
2010-02-10;4;Male;2
2010-02-11;0;Female;18
2010-02-11;0;Male;35
2010-02-11;1;Female;5
2010-02-11;1;Male;8
2010-02-11;2;Female;1
2010-02-11;2;Male;1
2010-02-11;3;Male;3
2010-02-12;0;Female;12
2010-02-12;0;Male;34
2010-02-12;1;Female;4
2010-02-12;1;Male;5
2010-02-12;2;Female;1
2010-02-12;2;Male;1
2010-02-12;3;Male;1
2010-02-13;0;Female;3
2010-02-13;0;Male;2
2010-02-13;1;Female;1
2010-02-14;0;Female;3
2010-02-14;0;Male;3
2010-02-15;0;Female;28
2010-02-15;0;Male;39
2010-02-15;1;Female;5
2010-02-15;1;Male;12
2010-02-15;2;Female;2
2010-02-15;3;Female;3
2010-02-15;3;Male;1
2010-02-15;4;Female;2
2010-02-15;4;Male;1
2010-02-16;0;Female;22
2010-02-16;0;Male;35
2010-02-16;1;Female;1
2010-02-16;1;Male;10
2010-02-16;2;Male;1
2010-02-17;0;Female;7
2010-02-17;0;Male;24
2010-02-17;1;Female;3
2010-02-17;1;Male;2
2010-02-17;3;Female;1
2010-02-17;4;Male;1
2010-02-18;0;Female;15
2010-02-18;0;Male;23
2010-02-18;1;Female;3
2010-02-18;1;Male;6
2010-02-18;2;Male;3
2010-02-18;4;Male;1
2010-02-19;0;Female;20
2010-02-19;0;Male;27
2010-02-19;1;Female;6
2010-02-19;1;Male;3
2010-02-19;2;Male;2
2010-02-20;0;Female;1
2010-02-20;0;Male;7
2010-02-21;0;Male;3
2010-02-21;1;Female;1
2010-02-22;0;Female;29
